station_id,longitude,latitude,time,avrcur
a2,3.119722,51.36166,2023-11-24T10:30:00Z,0.58
a2,3.119722,51.36166,2023-11-24T10:40:00Z,0.55
a2,3.119722,51.36166,2023-11-24T10:50:00Z,0.51
a2,3.119722,51.36166,2023-11-24T11:00:00Z,0.46
a2,3.119722,51.36166,2023-11-24T11:10:00Z,0.42
a2,3.119722,51.36166,2023-11-24T11:20:00Z,0.37
a2,3.119722,51.36166,2023-11-24T11:30:00Z,0.33
a2,3.119722,51.36166,2023-11-24T11:40:00Z,0.28
a2,3.119722,51.36166,2023-11-24T11:50:00Z,0.24
a2,3.119722,51.36166,2023-11-24T12:00:00Z,0.19
a2,3.119722,51.36166,2023-11-24T12:10:00Z,0.15
a2,3.119722,51.36166,2023-11-24T12:20:00Z,0.11
a2,3.119722,51.36166,2023-11-24T12:30:00Z,0.1
a2,3.119722,51.36166,2023-11-24T12:40:00Z,0.11
a2,3.119722,51.36166,2023-11-24T12:50:00Z,0.15
a2,3.119722,51.36166,2023-11-24T13:00:00Z,0.2
a2,3.119722,51.36166,2023-11-24T13:10:00Z,0.26
a2,3.119722,51.36166,2023-11-24T13:20:00Z,0.32
a2,3.119722,51.36166,2023-11-24T13:30:00Z,0.38
a2,3.119722,51.36166,2023-11-24T13:40:00Z,0.44
a2,3.119722,51.36166,2023-11-24T13:50:00Z,0.49
a2,3.119722,51.36166,2023-11-24T14:00:00Z,0.54
a2,3.119722,51.36166,2023-11-24T14:10:00Z,0.58
a2,3.119722,51.36166,2023-11-24T14:20:00Z,0.61
a2,3.119722,51.36166,2023-11-24T14:30:00Z,0.64
a2,3.119722,51.36166,2023-11-24T14:40:00Z,0.66
a2,3.119722,51.36166,2023-11-24T14:50:00Z,0.67
a2,3.119722,51.36166,2023-11-24T15:00:00Z,0.67
a2,3.119722,51.36166,2023-11-24T15:10:00Z,0.67
a2,3.119722,51.36166,2023-11-24T15:20:00Z,0.66
a2,3.119722,51.36166,2023-11-24T15:30:00Z,0.65
a2,3.119722,51.36166,2023-11-24T15:40:00Z,0.64
a2,3.119722,51.36166,2023-11-24T15:50:00Z,0.63
a2,3.119722,51.36166,2023-11-24T16:00:00Z,0.61
a2,3.119722,51.36166,2023-11-24T16:10:00Z,0.6
a2,3.119722,51.36166,2023-11-24T16:20:00Z,0.58
a2,3.119722,51.36166,2023-11-24T16:30:00Z,0.57
a2,3.119722,51.36166,2023-11-24T16:40:00Z,0.55
a2,3.119722,51.36166,2023-11-24T16:50:00Z,0.54
a2,3.119722,51.36166,2023-11-24T17:00:00Z,0.53
a2,3.119722,51.36166,2023-11-24T17:10:00Z,0.52
a2,3.119722,51.36166,2023-11-24T17:20:00Z,0.5
a2,3.119722,51.36166,2023-11-24T17:30:00Z,0.48
a2,3.119722,51.36166,2023-11-24T17:40:00Z,0.46
a2,3.119722,51.36166,2023-11-24T17:50:00Z,0.45
a2,3.119722,51.36166,2023-11-24T18:00:00Z,0.43
a2,3.119722,51.36166,2023-11-24T18:10:00Z,0.41
a2,3.119722,51.36166,2023-11-24T18:20:00Z,0.39
a2,3.119722,51.36166,2023-11-24T18:30:00Z,0.37
a2,3.119722,51.36166,2023-11-24T18:40:00Z,0.35
a2,3.119722,51.36166,2023-11-24T18:50:00Z,0.32
a2,3.119722,51.36166,2023-11-24T19:00:00Z,0.3
a2,3.119722,51.36166,2023-11-24T19:10:00Z,0.27
a2,3.119722,51.36166,2023-11-24T19:20:00Z,0.25
a2,3.119722,51.36166,2023-11-24T19:30:00Z,0.22
a2,3.119722,51.36166,2023-11-24T19:40:00Z,0.2
a2,3.119722,51.36166,2023-11-24T19:50:00Z,0.17
a2,3.119722,51.36166,2023-11-24T20:00:00Z,0.15
a2,3.119722,51.36166,2023-11-24T20:10:00Z,0.13
a2,3.119722,51.36166,2023-11-24T20:20:00Z,0.13
a2,3.119722,51.36166,2023-11-24T20:30:00Z,0.14
a2,3.119722,51.36166,2023-11-24T20:40:00Z,0.19
a2,3.119722,51.36166,2023-11-24T20:50:00Z,0.24
a2,3.119722,51.36166,2023-11-24T21:00:00Z,0.31
a2,3.119722,51.36166,2023-11-24T21:10:00Z,0.38
a2,3.119722,51.36166,2023-11-24T21:20:00Z,0.45
a2,3.119722,51.36166,2023-11-24T21:30:00Z,0.51
a2,3.119722,51.36166,2023-11-24T21:40:00Z,0.57
a2,3.119722,51.36166,2023-11-24T21:50:00Z,0.62
a2,3.119722,51.36166,2023-11-24T22:00:00Z,0.65
a2,3.119722,51.36166,2023-11-24T22:10:00Z,0.67
