"","objectid","naam","lat","lon","geometry"
"382",382,"Borssele I",51.7499371676293,2.98831605191816,c(2.98831605191816, 51.7499371676293)
"383",383,"Borssele I",51.7593397671239,2.99911978121209,c(2.99911978121209, 51.7593397671239)
"384",384,"Borssele I",51.7331935206883,3.03629150618419,c(3.03629150618419, 51.7331935206883)
"385",385,"Borssele I",51.7438320841253,3.03607070426595,c(3.03607070426595, 51.7438320841253)
"386",386,"Borssele I",51.7537324298104,3.0179912774157,c(3.0179912774157, 51.7537324298104)
"387",387,"Borssele I",51.7636813511162,3.03186535097066,c(3.03186535097066, 51.7636813511162)
"388",388,"Borssele I",51.7692968418261,3.0115764433119,c(3.0115764433119, 51.7692968418261)
"389",389,"Borssele I",51.778395174011,3.02288474583644,c(3.02288474583644, 51.778395174011)
"390",390,"Borssele I",51.786738150813,3.03360708561735,c(3.03360708561735, 51.786738150813)
"391",391,"Borssele I",51.7758855855452,3.04004391009641,c(3.04004391009641, 51.7758855855452)
"392",392,"Borssele I",51.7295697734712,3.05956584033285,c(3.05956584033285, 51.7295697734712)
"393",393,"Borssele I",51.7427415415681,3.06362396824903,c(3.06362396824903, 51.7427415415681)
"394",394,"Borssele I",51.7522900185036,3.04875730634879,c(3.04875730634879, 51.7522900185036)
"395",395,"Borssele I",51.7656819331367,3.05285833634117,c(3.05285833634117, 51.7656819331367)
"396",396,"Borssele I",51.7798125885467,3.05719416261358,c(3.05719416261358, 51.7798125885467)
"397",397,"Borssele I",51.7905332749593,3.06047649615291,c(3.06047649615291, 51.7905332749593)
"398",398,"Borssele I",51.7996868432158,3.0628507368942,c(3.0628507368942, 51.7996868432158)
"399",399,"Borssele I",51.7962152488886,3.04513525712586,c(3.04513525712586, 51.7962152488886)
"400",400,"Borssele I",51.7371238931068,3.08053136532746,c(3.08053136532746, 51.7371238931068)
"401",401,"Borssele I",51.7471868343801,3.09308141137641,c(3.09308141137641, 51.7471868343801)
"402",402,"Borssele I",51.758881938854,3.08790249263024,c(3.08790249263024, 51.758881938854)
"403",403,"Borssele I",51.7549122140954,3.07002446991554,c(3.07002446991554, 51.7549122140954)
"404",404,"Borssele I",51.77050474707,3.07348267501828,c(3.07348267501828, 51.77050474707)
"405",405,"Borssele I",51.7772507497383,3.08780289967073,c(3.08780289967073, 51.7772507497383)
"406",406,"Borssele I",51.7864177745235,3.07703871651041,c(3.07703871651041, 51.7864177745235)
"407",407,"Borssele I",51.7119992631702,3.07057210629577,c(3.07057210629577, 51.7119992631702)
"408",408,"Borssele I",51.7236344197044,3.08139831648259,c(3.08139831648259, 51.7236344197044)
"409",409,"Borssele I",51.731617081829,3.09838330074732,c(3.09838330074732, 51.731617081829)
"410",410,"Borssele I",51.7331961938972,3.11679681958615,c(3.11679681958615, 51.7331961938972)
"411",411,"Borssele I",51.7418284154746,3.11428877376663,c(3.11428877376663, 51.7418284154746)
"412",412,"Borssele I",51.7502802031694,3.11180621530733,c(3.11180621530733, 51.7502802031694)
"413",413,"Borssele I",51.7591486619598,3.10794553962966,c(3.10794553962966, 51.7591486619598)
"414",414,"Borssele I",51.7670963913347,3.09960094419667,c(3.09960094419667, 51.7670963913347)
"415",415,"Borssele I",51.7080113361361,3.08569405235019,c(3.08569405235019, 51.7080113361361)
"416",416,"Borssele I",51.7176576140561,3.10128653754187,c(3.10128653754187, 51.7176576140561)
"417",417,"Borssele I",51.7235945691483,3.11958378904436,c(3.11958378904436, 51.7235945691483)
"418",418,"Borssele I",51.7144517464139,3.12223771109749,c(3.12223771109749, 51.7144517464139)
"419",419,"Borssele I",51.7055935639352,3.12479946864697,c(3.12479946864697, 51.7055935639352)
"420",420,"Borssele I",51.7035499048045,3.09954932019623,c(3.09954932019623, 51.7035499048045)
"421",421,"Borssele I",51.6996727654213,3.11291327314477,c(3.11291327314477, 51.6996727654213)
"422",422,"Borssele I",51.6953804321759,3.12753735464887,c(3.12753735464887, 51.6953804321759)
"423",423,"Borssele II",51.690585797747,3.06477179251935,c(3.06477179251935, 51.690585797747)
"424",424,"Borssele II",51.6857815958964,3.08062996944448,c(3.08062996944448, 51.6857815958964)
"425",425,"Borssele II",51.6815155056862,3.09588816260515,c(3.09588816260515, 51.6815155056862)
"426",426,"Borssele II",51.6767422586579,3.11075444898213,c(3.11075444898213, 51.6767422586579)
"427",427,"Borssele II",51.6714213459714,3.12081791308839,c(3.12081791308839, 51.6714213459714)
"428",428,"Borssele II",51.6616657316526,3.11820457075333,c(3.11820457075333, 51.6616657316526)
"429",429,"Borssele II",51.6686665484878,3.10008153674541,c(3.10008153674541, 51.6686665484878)
"430",430,"Borssele II",51.6714062232547,3.08186660485611,c(3.08186660485611, 51.6714062232547)
"431",431,"Borssele II",51.6578884765313,3.0995217290517,c(3.0995217290517, 51.6578884765313)
"432",432,"Borssele II",51.6516609284738,3.11527926941042,c(3.11527926941042, 51.6516609284738)
"433",433,"Borssele II",51.6417351717206,3.11237574460753,c(3.11237574460753, 51.6417351717206)
"434",434,"Borssele II",51.6316662346084,3.10943563853919,c(3.10943563853919, 51.6316662346084)
"435",435,"Borssele II",51.6215448715862,3.10646590355826,c(3.10646590355826, 51.6215448715862)
"436",436,"Borssele II",51.6121523736413,3.10373467169149,c(3.10373467169149, 51.6121523736413)
"437",437,"Borssele II",51.6023436059169,3.10050306248992,c(3.10050306248992, 51.6023436059169)
"438",438,"Borssele II",51.6576224699847,3.07999753619763,c(3.07999753619763, 51.6576224699847)
"439",439,"Borssele II",51.6470152385602,3.09543534700886,c(3.09543534700886, 51.6470152385602)
"440",440,"Borssele II",51.635658966962,3.09201366259094,c(3.09201366259094, 51.635658966962)
"441",441,"Borssele II",51.6254536327402,3.09063756686688,c(3.09063756686688, 51.6254536327402)
"442",442,"Borssele II",51.6131349213013,3.0851503345677,c(3.0851503345677, 51.6131349213013)
"443",443,"Borssele II",51.6020757105866,3.08359055281358,c(3.08359055281358, 51.6020757105866)
"444",444,"Borssele II",51.5926188001555,3.08710287728151,c(3.08710287728151, 51.5926188001555)
"445",445,"Borssele II",51.58389162302,3.07509976510022,c(3.07509976510022, 51.58389162302)
"446",446,"Borssele II",51.677567504664,3.06482368208738,c(3.06482368208738, 51.677567504664)
"447",447,"Borssele II",51.6444770639763,3.07544888680267,c(3.07544888680267, 51.6444770639763)
"448",448,"Borssele II",51.6316394202003,3.07152823780817,c(3.07152823780817, 51.6316394202003)
"449",449,"Borssele II",51.619656883955,3.06772887039217,c(3.06772887039217, 51.619656883955)
"450",450,"Borssele II",51.6062550896769,3.0655184533717,c(3.0655184533717, 51.6062550896769)
"451",451,"Borssele II",51.594418676088,3.06761345781249,c(3.06761345781249, 51.594418676088)
"452",452,"Borssele II",51.5844867039052,3.05480652731042,c(3.05480652731042, 51.5844867039052)
"453",453,"Borssele II",51.5749988038655,3.06287879775912,c(3.06287879775912, 51.5749988038655)
"454",454,"Borssele II",51.6649603651029,3.06265166928019,c(3.06265166928019, 51.6649603651029)
"455",455,"Borssele II",51.6513618713014,3.05881895358278,c(3.05881895358278, 51.6513618713014)
"456",456,"Borssele II",51.6389337622411,3.05459420676467,c(3.05459420676467, 51.6389337622411)
"457",457,"Borssele II",51.625834451804,3.05022981482363,c(3.05022981482363, 51.625834451804)
"458",458,"Borssele II",51.6125242897786,3.04762454391184,c(3.04762454391184, 51.6125242897786)
"459",459,"Borssele II",51.5980888767425,3.04707640808505,c(3.04707640808505, 51.5980888767425)
"460",460,"Borssele II",51.5849703223552,3.0367321343853,c(3.0367321343853, 51.5849703223552)
"461",461,"Borssele II",51.5941303724522,3.02622025494054,c(3.02622025494054, 51.5941303724522)
"462",462,"Borssele II",51.6958112851059,3.04932842379867,c(3.04932842379867, 51.6958112851059)
"463",463,"Borssele II",51.6838501994086,3.04693027168621,c(3.04693027168621, 51.6838501994086)
"464",464,"Borssele II",51.6712205946981,3.04462354359915,c(3.04462354359915, 51.6712205946981)
"465",465,"Borssele II",51.6592078026467,3.04142115507362,c(3.04142115507362, 51.6592078026467)
"466",466,"Borssele II",51.6464075780535,3.03726638262153,c(3.03726638262153, 51.6464075780535)
"467",467,"Borssele II",51.6351208068147,3.03364009945475,c(3.03364009945475, 51.6351208068147)
"468",468,"Borssele II",51.6205708040268,3.02984021440803,c(3.02984021440803, 51.6205708040268)
"469",469,"Borssele II",51.6070203134203,3.02923031996122,c(3.02923031996122, 51.6070203134203)
